Sl. No.,District,Category,Name of Work,Length (km),Cost (Rs. Crore)
18,Bengaluru Urban and Krishnagiri,NHAI,4- laning of Neraluru - Thorapalli Agraharam section of NH-844 from Km 0+000 - Km 23+350 (Package-I),23.35,1757.27
19,Krishnagiri and Dharmapuri,NHAI,4- laning of Thorapalli Agraharam - Jittandahalli section of NH-844 from Km 23+350 - Km 60+100 (Package-II),36.75,1243.57
20,Krishnagiri,NHAI,Bangalore Ring Road (STRR)-section of NH-948A- Package-I of Phase-III from Belagondapalli (TN) to TN/KNT border from km 144+480 - 179+969,35.77,1260.74
21,"Villupuram, Cuddalore and Puducherry",NHAI,4- laning of Puducherry to Poondiyankuppam section of NH-45A (New NH 32),38,1588.4
22,"Mayiladuthurai, Karaikal and Nagapattinam",NHAI,4- laning of Sattanathapuram - Nagapattinam section of NH-45A (New NH-32),55.76,2899.77
23,Dharmapuri and Salem,NHAI,6-laning of Thoppur Ghat Section from Km 158+500 - Km 165+100 in Dharmapuri - Salem Section of NH-44,6.6,904.99
24,Dindigul,NHAI,4L of Kamalapuram- Oddanchatram from km. 0+000 - km. 35+822 section of NH-83,36.5,1051.69
25,Tiruppur and Coimbatore,NHAI,4L of Madathukulam - Pollachi from km. 74+380 - km. 116+950 section of NH-83,50.07,1471.71
26,Madurai,NHAI,4L of Madurai Ring Road (Phase 1) (Vadipatti-Thamrapatti) from km 0+000 - km 29+960,29.96,854.94
27,Madurai and Sivagangai,NHAI,4L of Melur - Pilayarpatti - Karaikudi from km 99+920 of NH 38 - km 12+900 of NH 383 Ext.,45.86,1103.86
28,Madurai and Virudhunagar,NHAI,4L of Thirumangalam - Vadugapatti section from km 0+000 - km 36+000 of NH-744,36,1076.97
29,Virudhunagar,NHAI,4L of Vadugapatti - Therkuvenganallur (Rajapalyam) section from km 36+000 - km 71+600 of NH-744,35.6,1317.06
30,Kanyakumari,NHAI,4L of left-over works including additional structures from Kerala/Tamil Nadu border to Kanyakumari Section from Km 43+000 - Km 96+174 of NH-66,23.06,1564.23
31,"Cuddalore, Ariyalur and Thanjavur",NHAI,4L of Sethiyathope -Cholapuram section from Km. 65+960 to Km. 116+440 section of NH-45 C (Pkg-II),50.48,2356.9
32,Tuticorin,NHAI,6L of Tuticorin Port Road section of NH-7A (New NH-138) from Km 0+000 - Km 6+140,6.14,157.67
Sub Total (NHAI),Sub Total (NHAI),Sub Total (NHAI),Sub Total (NHAI),858.77,40928.23
Grand Total,Grand Total,Grand Total,Grand Total,1119.29,43531.28
