SH. No.,Name of the Road,Starting KM.,Ending KM,Total Length KM.
SH-114,Chennai- Ennore Road (SH 114),8.000,18.400,10.400
SH-115,Cheyyur-Vandawasi-Polur Road (SH115),0.000,105.000,105.000
SH-116,Kanchipuram-Vandavasi Road (SH116),0.000,39.800,39.800
SH-116A,Pudupadi Illuppai Vadailluppai Vishar Kancheepuram Road (SH116A),0.000,37.600,37.600
SH-117,Maduranthakam -Vennangupet Road (SH117),0.000,37.600,37.600
SH-118,Bukkathurai-Uthiramerur Road (SH118),0.000,31.800,31.800
SH-118A,Uthiramerur-Kanchipuram Road (SH118A),0.000,26.400,26.400
SH-120,Walajabad-Sunguvarchathiram-Keelacheri road  (SH 120),21.700,30.900,9.200
SH-120,Walajabad-Sunguvarchathiram-Keelacheri road  (SH 120),0.000,18.400,18.400
SH-121,Vandalur-Mambakkam-Kelambakkam Road (SH121),0.000,18.600,18.600
SH-122,Abdullapuram Asanampattu Alangayam Thirupathur Road (SH122),0.000,79.500,79.500
SH-123,Kalavai Valapandal Road (SH123),0.000,21.200,21.200
SH-124,Ponnai Thiruvalam  Road (SH124),0.000,16.400,16.400
SH-124A,Ranipet Ponnai Road (SH124A),0.000,21.600,21.600
SH-125,Panamadangi Poosarivalasai Paradarami Road (SH125),0.00000,19.600,19.600
SH-126,Arakkonam Ocheri Road (SH126),0.000,32.000,32.000
SH-127,Pallikonda Palamaneri Road (SH127),0.000,28.800,28.800
SH-128,Sholinghur Kaveripakkam Road (SH128),0.000,30.000,30.000
SH-129,Arcot Kannamangalam Road (SH129),0.000,25.400,25.400
SH-130,Gudiyatham - Gadambur - Kailasagiri - Vaniyambadi Road. (SH 130),0.000,42.000,42.000
SH-130A,Ambur - Sathgur Road (SH 130A),0.000,19.800,19.800
SH-131,Bargur - Tirupattur Road (SH-131),0.000,24.200,24.200
SH-132,Kannamangalam Arni road (SH- 132) ,0.000,17.200,17.200
SH-133,Polur Chengam road (SH 133),0.000,47.000,47.000
SH-133A,Tiruvannamalai Avalurpet road (SH -133A),0.000,22.800,22.800
SH-134,Tindivanam-Merakkanam road (SH -134),0.000,34.000,34.000
SH-135,Villupuram Tiruvannamalai road SH 135,52.400,54.400,2.000
SH-136,Vellemedupettai-Pondy road (via) Mailam(SH-136),0.000,48.200,48.200
SH-137,Tirukoilur - Asanur Road (SH - 137),0.000,39.300,39.300
SH-138,Jail Hill-Vellakarai-Kumalangulam road (SH-138),0.000,19.200,19.200
SH-139,Ariyalur - Muthuvancheri - Sripuranthan road  [SH-139].,0.000,35.200,35.200
SH-140,The road branching at km.6/8 of Vridhachalam-Tholudur road to Madhanathur road (via) Jayankondam (SH-140),0.000,48.800,48.800
SH-141,Vridhachalam-Tholudur road (SH-141),0.000,44.400,44.400
SH-142,Thuraiyur - Peramblaur road   (SH-142).,0.000,39.400,39.400
SH-143,Mathur - Thittakudi road (SH-143).,0.000,26.000,26.000
SH-144,Kodukkur - Kaduvetti road [SH-144].,0.000,30.200,30.200
SH-145,Aranthangi- Kattumavadi Road ( SH 145 ),0.000,25.800,25.800
SH-146,Mannargudy - Sethubavachatram Road (SH  146),0.000,51.400,51.400
SH-147,Kumbakonam - Karaikal Road (SH 147),0.000,42.200,42.200
SH-148,Nagore-Vettar road.-SH-148,0.000,23.000,23.000
SH-149,  Sembanarkoil-Nalladai road. (SH-149) ,0.000,11.900,11.900
SH-150,Vaitheeswarankovil Lower Anaicut Road  (SH-150),0.000,32.250,32.250
SH-152,Vadamadurai - Oddanchatram Road  (SH - 152),0.000,42.800,42.800
SH-153,Palani - Dharapuram  road (via) Alangiyam  road (SH-153),0.000,32.680,32.680
SH-154,Vathalakundu-Peraiyur-Kariyapatti - Thiruchuli - Kamuthi - Sayalkudi road  (SH 154),0.000,160.940,160.940
SH-155,Ammaiyanaickanur - Vathalagundu Road (SH - 155),0.000,18.000,18.000
SH-156,Kodai Ghat Road (SH-156),0.000,56.800,56.800
SH-157,Athur - Perambalur road (SH-157).,0.000,53.000,53.000
SH-158,Thermal Power Plant Road (SH158),0.000,5.400,5.400
SH-159,Pallapatty-Suramangalam Road (SH159),0.000,2.200,2.200
SH-161,Namakkal - Kananur road  (SH 161),0.000,45.428,45.428
SH-162,North Coimbatore-Ramanathapuram-Chettipalayam Road ( SH162),0.000,18.910,18.910
SH-163,Palladam - Cochin Frontier road (SH 163),0.000,12.800,12.800
